Paire,v,vx,vy
2001-2006,1.8482688170927402,-1.4905490883687473,-1.059807320198373
2001-2013,0.23595276140410776,-0.06411866724950795,-0.17320945759358933
2001-2014,0.7112320345798661,-0.38843115343388473,-0.5939568282867363
2001-2017,0.7353111408002144,-0.3794576599604222,-0.6274695350291337
2001-2019,0.32648729490601314,0.03158233097326323,-0.213496581502521
2001-2021,0.8574273596406344,-0.4640371001845211,-0.7170597671666287
2006-2009,0.6926288681564023,-0.0014525610232520008,-0.15705395088575896
2006-2013,0.6118102911965383,0.3464445752322336,0.01257477095086543
2006-2014,0.17094309862285073,0.004049655979696866,-0.16285555850871541
2006-2018,0.28835887074014555,-0.13323822864511395,-0.22943958261395028
2006-2019,1.2152587061155153,1.1947802015501132,-0.12851677243328852
2006-2021,0.4204666057100221,-0.15952183175629245,-0.3738528785487631
2009-2001,0.5403398266173246,0.45495665433114035,0.2036192776864035
2009-2006,0.6724732953945284,0.03922203791686747,0.1772713665726999
2009-2018,0.4698029341641023,-0.2758676629317434,-0.3550427215006234
2009-2021,0.6112696964191332,-0.2959242451770613,-0.5204428803845137
2013-2001,0.21274618036702997,0.0611325938626964,0.19405152571656478
2013-2006,0.47317396489845936,-0.24586528361344537,0.016558854987307425
2013-2009,0.9004177293093776,-0.5651648726305066,0.0775854800715277
2013-2017,0.9439218060135725,-0.7571032066765235,-0.47478247983211597
2013-2018,1.0130330456285037,-0.45171490102145323,-0.8734318254938821
2013-2019,1.852717866576242,1.5283324707310109,-0.9881419322886922
2013-2021,0.9514387074246096,-0.42506841722199784,-0.8376776954597469
2014-2006,0.17881598370286864,0.05162282646028345,0.13175658152591896
2014-2017,0.5254701412783673,-0.20512901541815506,0.4804556169888632
2014-2018,0.7094955877186646,-0.545898232296701,-0.45095743755253204
2014-2019,1.575300684394043,1.4967734859279787,0.47107520988193424
2014-2021,0.81907830475809,-0.45357644725782725,-0.6805037987234713
2017-2001,0.4776235214047394,0.3985737836275746,0.24664550370757146
2017-2006,0.23739074610811875,0.20958406545585917,-0.06939620290125788
2017-2013,1.275293457549674,1.2290827807428333,-0.04793771807130906
2017-2014,0.5723146685884639,0.3400634970828299,-0.448279791004544
2017-2018,2.7084089849495694,-0.4248883591451723,-2.6692486029759404
2017-2021,1.3312312649388,-0.33752592743683024,-1.2825142575252153
2018-2006,0.3188923905691847,0.20394814738357586,0.23441891350598865
2018-2009,0.47173037271485607,0.3076203681511347,0.34393837662849336
2018-2013,0.6957827848641708,0.4298615943473973,0.5386097978116395
2018-2014,0.7254983669921464,0.5639407323623661,0.45454449382091827
2018-2017,2.813213286667367,0.5041265870423146,2.764681475231141
2018-2021,0.9890780544100651,-0.3894921238869773,-0.9029868571391049
2019-2001,0.38509779296013835,0.1498257537787974,0.34662516491333223
2019-2006,0.19716973856192868,0.010018551430734648,0.17590043982680964
2021-2001,0.5591321326707767,0.32330204624167375,0.4543024295221561
2021-2006,0.4275440232897536,0.22761116580919047,0.358613900963963
2021-2009,0.603499413939378,0.3368498082169967,0.4908873318974574
2021-2013,0.8351459990182043,0.4381823213558632,0.7068527556773405
2021-2014,0.8392576893780206,0.47774057213963017,0.6884028945156545
2021-2017,1.366060933888422,0.4491134294067819,1.2864104525635638
2021-2018,0.9968995833552217,0.4156397951578588,0.9013409214777264
