Paire,v,vx,vy
2001-2013,0.3203963598673435,-0.13938553440392315,-0.28497083413224056
2001-2014,0.2672853184696844,-0.17526166542027877,-0.1909757341657366
2001-2018,0.4717718981589449,-0.31442625131180035,-0.3513712463885002
2001-2019,0.1153088974371189,-0.059610517548351755,-0.08298635343225991
2001-2021,0.4984947857016252,-0.35379662105966403,-0.3503654706332488
2006-2009,1.145124307425435,1.1391902945707333,-0.09800724007417667
2006-2013,0.786422481487917,0.721478046975246,0.2953422813970274
2006-2014,0.138542763141926,0.11194325520563639,-0.07362537652673856
2006-2019,1.2004805140586163,1.1991151874482187,-0.02186246617529742
2006-2021,0.14018645203597505,0.00461003715180126,-0.13888820341626967
2009-2006,1.0932898343646438,-1.0888730533476594,0.0901029345015405
2009-2014,0.8358874380242854,-0.7176758924988349,-0.42730404427946356
2009-2018,0.5919664452638341,-0.4864052807373858,-0.3361094528654485
2009-2021,0.6516757282389737,-0.4979059091556669,-0.4201814685462389
2013-2001,0.30353916129938335,0.13002279530400815,0.2714637067405675
2013-2006,0.8487673237764046,-0.7967228374414743,-0.24188710920486717
2013-2009,1.303506238365862,-0.43454789254639553,0.8428385490114508
2013-2018,0.9487005326998758,-0.6884151733701843,-0.648080896916425
2013-2019,1.3444586983562385,0.569470259394959,-0.9686996571338959
2013-2021,0.9558583269215594,-0.6526028411556976,-0.687813396004314
2014-2006,0.1796396377171577,-0.14897725911997722,-0.02855342621633408
2014-2009,0.6934027620456193,0.6678985620986951,0.10039651107472038
2014-2017,0.5651989473028428,-0.1911905157536441,0.53045269982718
2014-2018,0.8012573950134632,-0.60932165112689,-0.520013766537645
2014-2019,0.7664285199940452,0.753093172719682,0.1303501840258
2014-2021,0.5838181538270512,-0.36162386235502575,-0.4535665086044888
2017-2006,0.25035445395835493,-0.049529125400091266,-0.22496228664496168
2017-2009,0.8451235714612051,0.5884533518039892,-0.6054152613793599
2017-2014,0.5541088037878004,0.23639416635382146,-0.49848883628055096
2017-2018,2.3255262272162387,-0.5564269261016467,-2.2568331057114746
2017-2021,0.9328036810014498,-0.20125647468219243,-0.9080625469267812
2018-2001,0.6025509964659279,0.5773961684283089,0.17047693083477888
2018-2009,0.5802227484853977,0.5517160941869045,0.13836135168952593
2018-2013,0.694308630967792,0.505994896307995,0.47440750893227007
2018-2014,0.760499968445785,0.59172815356061,0.47644801483533555
2018-2017,2.6002659453966444,0.5222353552033709,2.5469619763618474
2018-2021,1.0202614468983016,-0.5148542478446044,-0.8799375266997204
2019-2001,0.5800676410700999,0.30846290847882124,0.4909096023663372
2021-2001,0.38055753668379766,0.25707297336986074,0.2803884283411868
2021-2006,0.12245194657143227,0.03801984557852631,0.10414325805765198
2021-2009,0.6246279232148405,0.5395506801146955,0.30908890845070425
2021-2013,0.7862403193286558,0.5280709128391674,0.5819764852326273
2021-2014,0.6956188407676348,0.4648789528494554,0.516532423090638
2021-2017,1.0629286114203604,0.35748012893537695,0.9986366960956918
2021-2018,0.9951298294130593,0.513024609051367,0.8521381621530655
