Paire,v,vx,vy
2001-2013,0.22906089134349533,-0.06698294577785457,-0.19702200543570528
2001-2018,0.43440253345418195,-0.29357249108691463,-0.31908473942775584
2001-2019,0.25754780235022856,-0.11991048817327371,-0.2208041451267808
2001-2021,0.4483025811812719,-0.3060846087439787,-0.3257146458906068
2006-2009,0.9403890909363026,0.9303942917863984,-0.09864123114224138
2006-2013,0.7095766328412108,0.5747216856688955,0.18547205771169356
2006-2014,0.1480801335520255,0.07938823144979901,-0.10669596089338271
2006-2018,0.17301003393843248,-0.054569787652056896,-0.11862231696028507
2006-2019,1.273833719155677,1.2654620048166083,0.06146154083371433
2006-2021,0.2628544010366237,-0.09012377419091305,-0.23827746780596437
2009-2001,0.49682848053339246,-0.2944057043320985,0.3386235415875127
2009-2006,0.886789840756705,-0.879632498204023,0.0831457554608926
2009-2014,0.5977568417336779,-0.5112168196857649,-0.3068002536108319
2009-2018,0.6286370681107409,-0.5022810485465395,-0.3759698458244464
2009-2021,0.7156136303592995,-0.5225896361714976,-0.4874102222977053
2013-2001,0.22772133868673575,0.06972482930059018,0.1951264446566564
2013-2006,0.5575281508588265,-0.4344682974705366,-0.09431713108074223
2013-2009,1.0640630494022503,-0.03895666648614878,0.6213541274236488
2013-2018,0.8568028276316423,-0.6041389027603966,-0.6029392105825231
2013-2019,1.404328673778927,0.8029162680153082,-0.7992075104315994
2013-2021,0.9441357355801759,-0.6469658601452252,-0.6741651929187609
2014-2006,0.16266152263258937,-0.03514829156315142,0.06181758670759356
2014-2009,0.5845219049043062,0.5330779941686603,0.17126121411483253
2014-2017,0.5136096366626794,-0.23502476450358853,0.4473139858702153
2014-2018,0.8415829657595694,-0.6364885802930622,-0.5496316163277511
2014-2019,0.9233300313995215,0.8951477459629187,0.2115442537006579
2014-2021,0.8103022621494197,-0.5173433344414894,-0.6213694825163201
2017-2006,0.26058466234084815,0.11528675094683372,-0.11952805742778336
2017-2009,0.5830726045661553,0.4447619546979866,-0.3636690660953979
2017-2014,0.5129602926883972,0.281073517867823,-0.4187711666417464
2017-2018,2.41983795604067,-0.5333383952601675,-2.3573224431818183
2017-2021,1.1015502579246412,-0.3073830928528708,-1.0521701181220096
2018-2001,0.5477889970843302,0.51589325097189,0.1796929201555024
2018-2006,0.22292417844623372,0.14572629592685202,0.12616088306374426
2018-2009,0.628358580666866,0.5493686453349282,0.269869262111244
2018-2013,0.7110232879784689,0.5033774577601675,0.5009664230711722
2018-2014,0.8256269624700957,0.6364989533492823,0.5241982842404306
2018-2017,2.6373658044258375,0.5589426958732058,2.5763200882177033
2018-2021,1.0291454844497607,-0.5218442546351675,-0.8864339114832536
2019-2001,0.44449328424598905,0.21760983318761007,0.3863056311983345
2019-2006,0.16356753158421652,0.07944085936743854,0.11997965163977811
2021-2001,0.3849545828349282,0.2559074555173445,0.2869922575882177
2021-2006,0.29994253370010054,0.18314382168563326,0.22861430025548057
2021-2009,0.6846347936602871,0.548191864159689,0.4001204582834928
2021-2013,0.8039436303827752,0.5230157558313397,0.6096840423145933
2021-2014,0.830647833201704,0.5508487474272449,0.6209460409486884
2021-2017,1.1952723160885168,0.425366608104067,1.1135623504784689
2021-2018,1.0154106235047846,0.5241790333433014,0.869187163576555
