Paire,v,vx,vy
2001-2013,0.14812168403336476,-0.09999521640610634,-0.10550971695849808
2001-2018,0.26252355663701477,-0.20218620934900647,-0.16616998415116682
2001-2019,0.34711321893532776,-0.25482601994931503,-0.23411943352191752
2001-2021,0.3547811025079151,-0.25813684517178703,-0.2428309227691135
2006-2009,0.7125573223151894,-0.6475652292748942,-0.28788022724921847
2006-2013,0.3335183253981593,-0.2600815996571889,-0.20281855642618693
2006-2014,0.2049427362899696,-0.10780054943789164,-0.170284328889548
2006-2017,0.2661426250751202,-0.21533135408480492,-0.131538424971541
2006-2018,0.34303187688662334,-0.2587812015694393,-0.22275403726550935
2006-2021,0.461255548070642,-0.31704904428833053,-0.33163833760556644
2009-2001,0.22940211308615752,0.21588095802138096,0.05962251784252664
2009-2006,0.7219998358627943,0.6581302599329947,0.28775196138573467
2009-2018,0.29902953203326205,-0.16253154605868286,-0.24883613277657055
2009-2021,0.44333903744701436,-0.24852786712702726,-0.3635558519598922
2013-2001,0.15022783465313536,0.10250663687175317,0.10630461063925156
2013-2006,0.32972332166344737,0.2578535943104994,0.20323119398598463
2013-2009,0.25640958931218966,-0.12193823053627252,0.22216895644653364
2013-2018,0.4439024285123207,-0.337721751340394,-0.2816485355513286
2013-2019,0.7540466824889666,-0.5697997957084406,-0.49251213789249265
2013-2021,0.6140683744653698,-0.38930099970106696,-0.46889129256921447
2014-2006,0.18460286159031353,0.0843779832924846,0.16176965228772067
2014-2017,0.5016048272859966,-0.4797170231472968,0.06678951553844187
2014-2018,0.6545027199366725,-0.5894311622207153,-0.28128531015107805
2014-2019,0.6232098000327556,0.5833884797231289,-0.16811676979415685
2014-2021,0.7286056849657503,-0.5505007441844428,-0.47349175147687567
2017-2001,0.3119052271055535,0.2811588176518251,0.1340200936982806
2017-2006,0.23109914731260345,0.2001027383976186,0.10278324802029698
2017-2014,0.5047957156238507,0.4824805082578614,-0.06413922830731082
2017-2018,1.388878932109691,-0.735184192832843,-1.148068101496414
2017-2021,1.0027298136378264,-0.5357874778755977,-0.8470160430650056
2018-2001,0.2983912039697499,0.25139258476950394,0.15941626326745817
2018-2006,0.334596140764355,0.2575507604185822,0.21233919851479174
2018-2009,0.27146174777031995,0.14367458039059627,0.2283200161910399
2018-2013,0.40379629243862636,0.2878063295903825,0.28028127172932377
2018-2014,0.6624118795110795,0.5952891903618058,0.2879570431023584
2018-2017,1.410289499241449,0.7305831432167157,1.1753626462509195
2018-2021,0.881645761021975,-0.4807856210061144,-0.730488863093049
2019-2001,0.35908100726062364,0.26561345766360833,0.24021623062683958
2019-2006,0.18678240457209813,0.05463412017879911,0.1638887100594423
2021-2001,0.2882616576923961,0.20494649198924236,0.20131868262113828
2021-2006,0.41492695341478114,0.2919466601634945,0.29345173368821864
2021-2009,0.36588186447698107,0.19696058642779365,0.30734359266696326
2021-2013,0.44448041968738455,0.25801267366722846,0.3598313995688262
2021-2014,0.7342879929144447,0.5565120897647343,0.47623840085107116
2021-2017,1.0083309508895735,0.5345704561649504,0.8541019575786135
2021-2018,0.8892574892538617,0.48617956646227933,0.7368683950039077
