Paire,v,vx,vy
2014-2006,0.11390258419898248,-0.0829377943469632,-0.07800293481478127
2014-2019,0.19581634767593875,0.19058658230689265,-0.001361323941138483
2014-2018,0.1242181613881101,-0.10895198904057984,0.059096859347435735
2014-2013,1.8617611136487735,-1.508147208921371,-1.089855727329049
2014-2021,0.04782006048387097,-0.04645931592551611,0.010897121121806482
2014-2017,0.4959259853568128,0.05908836856965096,0.49193187426495294
2014-2009,0.46266486055107525,-0.424998047531292,-0.18126637448546706
2014-2001,0.24523905272124916,-0.1934247580907678,-0.15048791003483597
2006-2014,0.1113736347485614,0.07968443183488744,0.07779066024288055
2006-2019,0.7931062467805632,0.7845474075485062,0.07140608672257308
2006-2018,0.10828969811880461,0.01538314998790782,0.10711052597209972
2006-2013,0.1390895534206081,-0.11792805645916914,-0.04641781368771115
2006-2021,0.06601407963742492,0.015724085992382418,0.0639684841197024
2006-2017,0.20668686077158938,0.07819483357091103,0.19126908497143819
2006-2009,0.4775992362729965,-0.4709249516969086,-0.06345010572864164
2019-2014,19.773416758849557,-19.30286573561947,-4.28781716675885
2019-2006,0.1456496125908308,0.14267177991969612,0.02846373281171245
2019-2021,48.1951048951049,-47.36213395979021,-8.886229102928322
2019-2001,0.07411452262632308,-0.022992144348800824,-0.06242639275007351
2018-2014,0.13139437603694137,0.1127951427172589,-0.06715872979933216
2018-2006,0.10689232939033098,-0.013099406355170793,-0.10585215783888294
2018-2019,58.69691722972973,-58.34518581081081,-6.265292440878379
2018-2013,0.35508301437542,-0.1698230415262202,-0.31117396200856856
2018-2021,0.08059339625861055,0.026912730227234543,-0.07556393838697864
2018-2017,0.9400199151808216,0.6081496207944809,0.7158572289251512
2018-2009,0.22600514401671706,-0.15709222773069975,-0.16037007813812584
2018-2001,0.1783288114814348,-0.10049688687888525,-0.14713908780005672
2013-2014,1.8467233309181788,1.4954692881594422,1.083014621529528
2013-2006,0.15557836647945786,0.14956627482268042,0.04159174890960822
2013-2019,0.12099280408633653,-0.12080724777713898,-0.0023741441708739087
2013-2018,0.33440807301511044,0.14419315707299016,0.3016150689894153
2013-2021,0.20767989209903184,0.13508557760587303,0.1575336148661952
2013-2017,0.7781142368111559,0.3994447441511257,0.667610824749034
2013-2009,0.1615289043770504,-0.1606702432337231,0.011609821910011014
2013-2001,0.12501210038379956,-0.0786293347676595,-0.08849852572205247
2021-2014,0.05098089095084898,0.04829321112684024,-0.014763191182126281
2021-2006,0.06423044204711914,-0.015453084822623961,-0.06213412746306388
2021-2019,28.590462005395683,-28.578560589028775,-0.7929773563961331
2021-2018,0.07783385246030745,-0.01923135019117786,0.07467790829238072
2021-2013,0.2174703331403835,-0.1509515598256101,-0.1559105021979219
2021-2017,0.38375075145434306,0.09767282137306788,0.3707847185032342
2021-2009,0.16198543835711735,-0.13688788875456778,-0.08226338253226331
2021-2001,0.15304760266375797,-0.11046632130940755,-0.10502154852754327
2017-2014,0.4907615005329091,-0.04477778301444105,-0.4875895182291667
2017-2006,0.21061751663043934,-0.08358360105945219,-0.19319197952106434
2017-2018,0.9406372398458501,-0.5930833713982695,-0.7285028273059476
2017-2013,0.7999196206369708,-0.4220430107526882,-0.6782966531733031
2017-2021,0.38958490023048975,-0.0917378907562584,-0.3784339248493154
2017-2009,0.41431886406355006,-0.2678153950680969,-0.3131932904643397
2017-2001,0.25813547770182294,0.2216891627157888,0.12871469477171538
2009-2014,0.45660154281123994,0.4236661849483367,0.16987140204316825
2009-2006,0.47285797775432625,0.46702620803668937,0.06263733935612505
2009-2018,0.21947415669759116,0.14710478628835372,0.16148036013367356
2009-2021,0.15005142458023563,0.13122230447748656,0.07073572630523353
2009-2017,0.41309373096753194,0.26669178214124456,0.3143603827363701
2009-2001,0.18837164035555812,-0.06789719593155913,-0.14851201751832205
2001-2014,0.26261536793042256,0.20177297694708712,0.16789315336494035
2001-2006,1.4913992008692782,-1.4731693655858764,0.14149986111875246
2001-2019,0.07451736286122312,0.021217743555704754,0.06172745202177314
2001-2018,0.20272978915963122,0.1174685057773385,0.1648952422603484
2001-2013,0.1266846708072129,0.08016047426449355,0.08611851353799144
2001-2021,0.15870293237829722,0.11218624730263987,0.11194969505392095
2001-2017,0.7278038944758422,-0.1497489550434951,-0.7078706781914894
