Paire,v,vx,vy
2001-2013,0.2112077521957628,-0.15261372895499614,-0.14453691974590793
2001-2018,0.3719820970881483,-0.2996316972149803,-0.21947471506834837
2001-2019,0.44533162685366534,-0.3338454662252553,-0.29421189302296097
2001-2021,0.3615830446120993,-0.2803979279353997,-0.22669184784519122
2006-2009,0.8331386314127239,-0.7753690268931971,-0.29139864965355544
2006-2013,0.35123426146026593,-0.24126283814306973,-0.22037569799759393
2006-2014,0.24879238073004348,-0.12957326972524727,-0.21166872309246984
2006-2017,0.31697966302822106,-0.3036144427937537,-0.08136298357735852
2006-2018,0.2444965544201079,-0.18073243640718006,-0.148899287269229
2006-2021,0.12660613493485884,-0.10426266410134055,-0.06775685223666104
2009-2001,0.3100189902565696,0.2867633819580078,0.10981077714399858
2009-2006,0.8250556372097714,0.7645378754997896,0.29603920881997053
2009-2018,0.3858475585385458,-0.27014750151259537,-0.2737024974661267
2009-2021,0.302598381157589,-0.1968779394118701,-0.22660858025375302
2013-2001,0.20505317781967386,0.14934882391473614,0.1390412555963702
2013-2006,0.37051585882482396,0.2672483976122359,0.25391133912852115
2013-2009,0.27386570243643327,-0.07392802182428651,0.24659989436511962
2013-2018,0.5857568878532456,-0.4937082897969712,-0.31488996867567853
2013-2019,0.9175385324129127,-0.7044763805216494,-0.5870918056187046
2013-2021,0.7709270167995144,-0.5541763649330483,-0.5353029268281954
2014-2006,0.21178225798518815,0.10629660975152577,0.18229674439091353
2014-2017,0.5043012536832855,-0.46693253904064075,0.18179063418088975
2014-2018,0.7484412980466564,-0.6663970008000489,-0.3392339449190333
2014-2019,0.5769808042896615,0.5741498933268047,0.027962008467184878
2014-2021,0.7371504574078616,-0.6020830778797646,-0.424744815569822
2017-2001,0.290390313505526,0.26745224639431486,0.11153355936264951
2017-2014,0.5098284703763291,0.47821574325860383,-0.16616382396081072
2017-2018,1.730066539591494,-0.7582205850849888,-1.5509540747849049
2017-2021,0.930464186879197,-0.4877166321108177,-0.7900036778207191
2018-2001,0.3881483798461982,0.3382322784235975,0.18894400914154308
2018-2006,0.14946739032238757,0.1226741691182339,0.0493008919931297
2018-2009,0.2891606899654919,0.18974471840623247,0.21531059709899628
2018-2013,0.5158946203264899,0.42507881629913963,0.29170173256505316
2018-2014,0.7483578229924455,0.6663008200501889,0.3386645794715305
2018-2017,1.710276803826245,0.740664046105554,1.5360860883289031
2018-2021,0.8217526154606184,-0.5602910533322258,-0.5987460707977756
2019-2001,0.44224817814521233,0.3361241412511424,0.2859442488817316
2021-2001,0.2847599484230729,0.2455062140415151,0.14299962449887643
2021-2013,0.306226443056342,0.20665435963821843,0.22479932359498866
2021-2014,0.7319703586169728,0.5948330231483104,0.42563288972675967
2021-2017,0.9471029101234612,0.4923705713136542,0.8045179541042949
2021-2018,0.8213510881540291,0.563134806611115,0.595438354697118
