Paire,v,vx,vy
2001-2006,2.100906423377606,-1.7806990007145258,-1.1082427916946873
2001-2013,0.20814438364864174,-0.07940414528441585,-0.1774523566750919
2001-2014,0.9934768325172811,-0.49836977066532256,-0.8587729177167339
2001-2017,1.1163346751999461,-0.6218739995675323,-0.9260420644994608
2001-2018,1.0189109351150787,-0.508663893358873,-0.8824925753635122
2001-2019,0.2988093320676969,0.08539049502392632,-0.18230923130274082
2001-2021,0.9557118633546889,-0.4886487723464078,-0.8207374511281613
2006-2009,0.8342813155664945,-0.7965177729331423,-0.24218527373381013
2006-2013,0.5538086201150783,0.3344914413682843,0.013722397081280372
2006-2014,0.1730121834047379,0.004477041306034211,-0.16990911668346775
2006-2018,0.3151663343506668,-0.16672852088316456,-0.2672044515135748
2006-2019,1.0762683957122092,1.0617423625064124,-0.12409234210013038
2006-2021,0.45433873002247144,-0.21751219226467994,-0.39819623065251175
2009-2001,0.5364782063424449,0.42728726769821274,0.31521061235680103
2009-2006,0.8439778172692587,0.8051143518097948,0.24666453516760536
2009-2018,0.29781659444173175,-0.03634911527236303,-0.2939600149790446
2009-2021,0.5171342941264389,-0.12759617114036154,-0.500135409383613
2013-2001,0.22563888461033452,0.0876658069139615,0.20379936548687985
2013-2006,0.587468064089214,-0.37531693133123256,-0.12670376678488093
2013-2009,0.6265728044291299,-0.5673756177861002,0.08616040622633739
2013-2017,1.7440120136895443,-1.5641914850817675,-0.7628439715444503
2013-2018,1.0518011690592235,-0.616832608164216,-0.8467656006819299
2013-2019,2.0081981005589604,1.6928225353936464,-1.0076550225526588
2013-2021,0.9454332219074886,-0.49517992799199967,-0.8024240832115009
2014-2006,0.17173772996471776,-0.002291793207968435,0.16932550245715725
2014-2017,0.5672030147429435,-0.23769356020035282,0.5124239620085685
2014-2018,0.7179018082157258,-0.5470827951738911,-0.4634417527721774
2014-2019,1.6230487651209677,1.5448294165826613,0.47127291771673385
2014-2021,0.85603271484375,-0.44850089780745966,-0.7279188193044355
2017-2001,0.5819481634324597,0.4888869156376008,0.3140642916771673
2017-2013,1.6116781123991935,1.5833907195060484,0.2612869361139113
2017-2014,0.616454841859879,0.4100657604586694,-0.45370723601310486
2017-2018,2.717208921370968,-0.36282289566532255,-2.6777967489919354
2017-2021,1.4122987021169355,-0.39136817193800405,-1.352287361391129
2018-2006,0.30742242628528227,0.16952802104334677,0.2557256095640121
2018-2009,0.2969547985446069,0.10219348538306451,0.27626571163054436
2018-2013,0.7313390719506049,0.4763307632938508,0.5543174300655241
2018-2014,0.7377129536290322,0.5674663715977822,0.4706578408518145
2018-2017,2.887911101310484,0.5976317571824596,2.8221295362903227
2018-2021,1.063954605594758,-0.4099247889364919,-0.9792557648689516
2019-2001,0.36272477541095594,0.14184576665916682,0.32394839094216255
2019-2006,0.15997573396164358,0.0005180869827964991,0.14098496058827414
2021-2001,0.5955737945581675,0.33899158606087215,0.48929236070165094
2021-2006,0.45429782006048386,0.23327044087071572,0.3894207566784274
2021-2009,0.4992928191154234,0.18964321997857864,0.4604572517641129
2021-2013,0.89891357421875,0.4734679782006048,0.7635318485383065
2021-2014,0.8908863092237903,0.4689078251008065,0.7571254410282258
2021-2017,1.4868302671370968,0.5607747920866936,1.3753271484375
2021-2018,1.093070816532258,0.45805356917842743,0.9908974924395161
